Lissabon	Lisbon — Eigenname (Stadt)
ausgezogen	moved out / undressed — Partizip II von *ausziehen* (Verb)
Den Flug verschieben	to postpone the flight — Verbphrase
der Ernährungsberater	nutritionist — Nomen (m)
Ich habe mich gewogen	I weighed myself — Reflexives Verb (Perfektform von *wiegen*)
wiegen, wog, gewogen	to weigh, weighed, weighed — Verb (starkes Verb, unregelmäßig)
die Waage	scale (for weighing) — Nomen (f)
die Physik	physics — Nomen (f, meist ohne Artikel)
der Mülleimer	trash can — Nomen (m)
der Mülleimer brennt	the trash can is burning — Satz mit Nomen und Verb
Er zündet den Mülleimer an	He sets the trash can on fire — Verbphrase (anzünden = trennbares Verb)
der Kohlenstoff	carbon — Nomen (m, chemisch)
ausstoßen	to emit / to discharge — Verb (trennbares Verb, z. B. CO₂ ausstoßen)
die Probe	sample / test — Nomen (f)
einen Schluss ziehen	to draw a conclusion — Verbphrase / idiomatisch
wiegen	to weigh — Verb (Infinitiv)
„Nah am Wasser gebaut haben“	to cry easily — Redewendung / idiomatisch
ehemalig	former / previous — Adjektiv
