die Gemeinde/die Kommune	The community/the municipality — Substantiv, feminin
das Wasserwerk	The water plant — Substantiv, neutral
die Menschenrechtsverletzung	The human rights violation — Substantiv, feminin
der Zirkus	The circus — Substantiv, maskulin
der Füllstand	The fill level — Substantiv, maskulin
der Stand	The stand — Substantiv, maskulin
Brot und Spiele	Bread and circuses — Phrase
Rar gesät	Rarely sowed — Phrase
Auf den ersten Blick	At first glance — Phrase
Streuen - gestreut	To spread - spread — Verb
Bieder = konservativ	Conservative — Adjektiv
Konventionell	Conventional — Adjektiv
Sie trauen mir etwas zu	They trust me with something — Phrase
Jemandem etwas zutrauen	To trust someone with something — Phrase
freiberuflich	Freelance — Adjektiv
die Unternehmerin	The entrepreneur (female) — Substantiv, feminin
der Sprechakt	The speech act — Substantiv, maskulin
John Searle	John Searle — Proper noun, philosopher
Interesse wecken	To arouse interest — Phrase
der Ast	The branch — Substantiv, maskulin
Spärlich = wenig	Sparse = little — Adjektiv
der Einstieg = das Intro	The introduction = the intro — Substantiv, der Einstieg: maskulin; das Intro: neutral
Gut beleuchtet	Well lit — Adjektiv
Mit welche Kommentar bist du gar nicht einverstanden	With which comment do you completely disagree — Phrase
