der Betreff	Subject — Nomen, maskulin
der Eintrittstermin	Start date — Nomen, maskulin
die Anrede	Salutation — Nomen, feminin
die Einleitung	Introduction — Nomen, feminin
Nach langjähriger Tätigkeit als Erzieherin in unterschiedlichen Kinderbetreuungseinrichtungen übernahm ich 2015 die stellvertretende Leitung bei KiK – Kinder in Köln.	After many years working as an educator in various childcare facilities, I took on the deputy management role at KiK – Kinder in Köln in 2015. — Komplexer Satz
Dort erwarb ich zahlreiche Kompetenzen, die ich im Kindergarten Rappelkiste gern einbringen würde.	I acquired numerous skills there that I would like to contribute to the Rappelkiste kindergarten. — Komplexer Satz
In meinen Aufgabenbereich fallen neben der pädagogisch-inhaltlichen Arbeit auch viele administrative und organisatorische Tätigkeiten.	My tasks include not only pedagogical work but also many administrative and organizational tasks. — Komplexer Satz
Darüber hinaus habe ich in meiner Weiterbildung Leitung in Sozialberufen Kenntnisse in Arbeitsrecht und Personalführung erworben.	In addition, during my further education in management in social professions, I acquired knowledge of labor law and personnel management. — Komplexer Satz
Ergänzt werden diese durch drei Jahre Arbeitserfahrung im Bereich Verwaltung in der Familienberatungsstelle Gemeinsam stark.	These are supplemented by three years of work experience in administration at the family support center Gemeinsam stark. — Komplexer Satz
Ich arbeite leidenschaftlich gern mit Kindern und bin mit verschiedenen pädagogischen Methoden, etwa der Freinet- und der Reggio-Pädagogik bestens vertraut.	I am passionate about working with children and am well-versed in various pedagogical methods such as Freinet and Reggio pedagogy. — Komplexer Satz
Besonders intensiv habe ich mich aber in zwei umfangreichen Fortbildungen mit der Montessori-Pädagogik und dramapädagogischen Ansätzen beschäftigt.	I have also delved deeply into Montessori pedagogy and drama educational approaches in two extensive training courses. — Komplexer Satz
Gerade Letztere haben sich im Bereich des Konfliktmanagements als sehr hilfreich erwiesen.	The latter, in particular, have proven to be very useful in conflict management. — Komplexer Satz
Selbst zweisprachig aufgewachsen, bin ich sowohl mit der deutschen als auch der türkischen Kultur von Kindheit an vertraut.	Having grown up bilingual, I am familiar with both German and Turkish cultures from an early age. — Komplexer Satz
Er erleichtert die Kommunikation mit Kindern und Eltern türkischer Herkunft und ermöglicht ein besseres Verstehen von kulturell bedingten Konflikten.	It facilitates communication with children and parents of Turkish origin and enables a better understanding of culturally-induced conflicts. — Komplexer Satz
Auch in meiner Freizeit beschäftige ich mich gern mit Kindern.	Even in my free time, I enjoy working with children. — Komplexer Satz
Ich bin in einer Theatergruppe in meinem Viertel aktiv und habe dort schon in verschiedenen Rollen auf der Bühne gestanden.	I am active in a theater group in my neighborhood and have played various roles on stage. — Komplexer Satz
Vor allem aber leite ich regelmäßig mit großer Begeisterung Theaterprojekte mit Kindern.	Above all, I regularly lead theater projects with children with great enthusiasm. — Komplexer Satz
Aufgrund meiner Kündigungsfrist wäre mein frühester Eintrittstermin der 1. Oktober.	Due to my notice period, the earliest start date for me would be October 1st. — Komplexer Satz
Über eine Einladung zu einem persönlichen Gespräch würde ich mich sehr freuen.	I would be very pleased to receive an invitation to a personal interview. — Komplexer Satz
