Jawohl	Yes indeed — Interjektion
die Aufmerksamkeit	Attention — Substantiv, feminin
Anstoßen	To toast, to bump — Verb
Beschoffen	Tipsy — Adjektiv (umgangssprachlich für betrunken)
Ruhe im Puff	Quiet in the brothel — Ausdruck
der Unbeweibte	Unmarried man — Substantiv, maskulin
Wie war das doch gleich?	How was that again? — Redewendung
die Verzeihung	Pardon — Substantiv, feminin
Nur Luft und Qualm	Only air and smoke — Ausdruck
die Arschbacken	Cheeks of the buttocks — Substantiv, feminin (vulgär)
Kapieren	To understand — Verb (umgangssprachlich)
Quietschen	To squeak — Verb
Verbogen	Bent — Adjektiv
Aufgestellt	Set up — Adjektiv
Seeklar	Sea ready — Adjektiv
Versenkt sie alle	Sink them all — Befehl
die Koje	Berths / Berth — Substantiv, feminin
die Rettungsweste	Life jacket — Substantiv, feminin
das Gespenst	The ghost — Substantiv, neutral
die Einlaufenden / Auslaufenden	Incoming / Outgoing — Substantiv, plural
die Milchgesichter	Babyfaces — Substantiv, plural
der Kinderkreuzzug	Children's crusade — Substantiv, maskulin
die Plantage	Plantation — Substantiv, feminin
der Grünschnabel	Greenhorn — Substantiv, maskulin
die Tauchstation	Diving station — Substantiv, feminin
Nicht übel	Not bad — Ausdruck
Zerquetsched	Crushed — Adjektiv (Dialekt)
Auftauchen	To surface — Verb
Heimlich	Secretly — Adverb
das besoffene Schwein	Drunken pig — Umgangssprache, negativ
Davon kriege ich das Kotzen	That makes me sick — Umgangssprache
der blöde Trottel	Stupid fool — Umgangssprache, beleidigend
Hineingerammt	Rammed into — Verb (Vergangenheit)
der Vordergrund	Foreground — Substantiv, maskulin
Zusammenknoten	Tie together — Verb
die Schraubengeräusche	Propeller noises — Substantiv, plural
Wandern achteraus	Wander astern — Ausdruck
die Holzverkleidung	Wood paneling — Substantiv, feminin
Abschalten	To turn off — Verb
die Treibstoffzufuhr	Fuel supply — Substantiv, feminin
das Geleit	Escort — Substantiv, neutral
der Treibstoff	Fuel — Substantiv, maskulin
Zwecklos	Useless — Adjektiv
das U-Boot	The submarine — Substantiv, neutral
Entfernen sich von aus	To move away from — Verb, reflexiv
der Zerstörer	Destroyer — Substantiv, maskulin
die Mündungsklappen	Muzzle flaps — Substantiv, plural
die Beeilung	Hurry up — Substantiv, feminin, Aufforderung
Abgeschüsselt	Tipped — Adjektiv
die Sehrohrtiefe	Periscope depth — Substantiv, feminin
kann man nur noch beten	One can only pray now — Ausdruck
der Frachter	Freighter — Substantiv, maskulin
der Dampfer	Steamship — Substantiv, maskulin
Los, beeil dich	Come on, hurry up — Aufforderung
Er hat Schwein gehabt	He was lucky — Redewendung
Schimmel ist gesund	Mold is healthy — Ironie
Zuhause schneit es bestimmt schon	It's probably already snowing at home — Ausdruck
Erschwert	Complicated — Adjektiv
die Auspuffklappe	Exhaust flap — Substantiv, feminin
Erniedrigend	Humiliating — Adjektiv
Beschämend	Embarrassing — Adjektiv
das Nadelohr	Eye of the needle — Substantiv, neutral
der Maat geht auch	The mate is going too — Ausdruck
die Verziehung	Deformation — Substantiv, feminin
Sie ahnen nicht	They don't suspect — Redewendung
Anstoßen	To toast, to bump — Verb
die Feige	Figs — Substantiv, feminin (Plural)
Entkommen	To escape — Verb
Rülpst	Burps — Verb (Präsens)
Unser Antrag ist abgelehnt worden	Our application has been rejected — Ausdruck
Nassforschen	Wet research — Substantiv, umgangssprachlich
die Patrouillenboote	Patrol boats — Substantiv, plural
Das ist die Lage	That's the situation — Ausdruck
die Oberflachenströmung	Surface current — Substantiv, feminin
die Beeilung	Hurry up — Substantiv, feminin, Aufforderung
Anblasen	Blow (to blow) — Verb
Wasser bricht immer noch ein	Water is still bursting in — Redewendung
Wir müssen die Lecks schließen	We must seal the leaks — Ausdruck
Großartig	Great — Adjektiv
Vorsicht, du Trottel	Watch out, you idiot — Ausruf, beleidigend
Den Rhythmus beibehalten	Keep the rhythm — Ausdruck
Funkkontakt ist tot	Radio contact is dead — Ausdruck
Reicht der Sauerstoff?	Is the oxygen sufficient? — Frage
Es musste schiefgehen	It had to go wrong — Ausdruck
Glauben Sie, es ist hoffnungslos?	Do you think it's hopeless? — Frage
Das schaffen wir nie	We'll never make it — Ausdruck
Die haben uns was vorgemacht	They fooled us — Ausdruck
das Echolot	Sonar — Substantiv, neutral
brenzlig	Perilous — Adjektiv
der Schlamassel	Mess — Substantiv, maskulin
der Pluspunkt	Plus point — Substantiv, maskulin
über Unterkante Kiel	Above the bottom edge of the keel — Ausdruck
Die scharchen in ihren Kojen	They're snoring in their bunks — Ausdruck
die Versenkung	Sinking — Substantiv, feminin
Jungs, auf Daheim!	Boys, to home! — Aufforderung, Trinkspruch
