die Rückmeldung	feedback — Noun, feminine
der Nationalsozialistische Untergrund	National Socialist Underground — Noun, masculine, historical reference
sie hat gesprochen, aber sie hat nichts gesagt	she spoke, but she said nothing — Full sentence
die Nagelbomben	nail bombs — Noun, plural
jemanden ausfragen	to interrogate someone — Verb, separable prefix
zu viele persönliche Fragen stellen	to ask too many personal questions — Phrase
zu neugierig sein	to be too curious — Phrase
wenn alles endlich zusammenpasst	when everything finally fits together — Subordinating conjunction, phrase
die Mitbewerber	competitors — Noun, plural
die Auszeichnungen	awards — Noun, plural
die Herausforderung	challenge — Noun, feminine
die Mahnung	reminder — Noun, feminine
das Mahnverfahren	dunning procedure — Noun, neuter
drei Tage vor seinem Tod	three days before his death — Phrase
die Lumbalpunktion	lumbar puncture — Noun, feminine, medical term
das Rückenmark	spinal cord — Noun, neuter
die Krankenkasse	health insurance company — Noun, feminine
die Migräne	migraine — Noun, feminine
das Gebäck	pastry — Noun, neuter
mit warmem Wasser	with warm water — Phrase
wegen der Nebenwirkungen	because of the side effects — Phrase
die Schüler mussten sie korrigieren	the students had to correct her — Full sentence
ich mache mir große Sorgen	I am very worried — Full sentence
sie ist verwirrt	she is confused — Full sentence
sie warten auf etwas	they are waiting for something — Full sentence
dividiert	divided — Participle
sie legen sofort auf	they hang up immediately — Full sentence, separable verb
die Vorschläge	suggestions — Noun, plural
am laufenden Band	continuously — Idiom
ständig	constantly — Adverb
es war ein Unterschied von Tag und Nacht	it was like night and day — Idiom
besser organisiert	better organized — Adjective
sie haben Nebenwirkungen	they have side effects — Full sentence
die Wirkung wird abgeschwächt	the effect is weakened — Full sentence, passive voice
diagnostiziert	diagnosed — Participle
seinen inneren Schweinehund überwinden	to overcome one's weaker self — Phrase, idiom
unausgeschlafen	not well-rested — Adjective
wenn ich gut ausgeschlafen bin	when I am well-rested — Subordinating conjunction, phrase
an den Tagen, an denen ich Sport mache	on the days when I exercise — Subordinating conjunction, phrase
ich bin gedanklich bei der Arbeit	my thoughts are at work — Full sentence, phrase
Meine Gedanken kreisen um die Arbeit	My thoughts revolve around work — Full sentence
eine ganze Tablette	a whole tablet — Phrase
ich fühle mich, als ob ich noch nicht richtig wach wäre	I feel like I am not fully awake yet — Full sentence
die Angstzustände	anxiety disorders — Noun, plural
das Seil	a rope — Noun, neuter
das Seilspringen	jump roping — Noun, neuter, sports term
die Hanteln	dumbbells — Noun, plural, sports equipment
gegen den inneren Schweinehund kämpfen	to fight against one's weaker self — Phrase, idiom
was mein Deutsch betrifft	regarding my German — Phrase
ich nehme nichts auf	I am not absorbing anything — Full sentence, separable verb
auf längere Sicht	in the long run — Phrase
das regt deinen Appetit an	that stimulates your appetite — Full sentence, separable verb
die Körpermitte	core — Noun, feminine, anatomical term
die Herzfrequenz	heart rate — Noun, feminine, medical term
das Cardio	cardio — Noun, neuter, sports term
die Kraftübungen	strength exercises — Noun, plural, sports term
es ist ein Gleichgewicht	it's a balance — Full sentence
das Spinbike	spin bike — Noun, neuter, sports equipment
das Fahrrad	bicycle — Noun, neuter
das Dreieck	triangle — Noun, neuter
einen Film auf Deutsch synchronisieren	to dub a movie in German — Phrase
ich bin in Gedanken	I am lost in thought — Full sentence
ich denke daran	I am thinking about it — Full sentence
maßgeschneidert	tailored — Adjective
die Inhaltsangabe	summary — Noun, feminine
