der Fasching	carnival — Substantiv, maskulin
der Rosenmontag	Rose Monday — Substantiv, maskulin
der Aschermittwoch	Ash Wednesday — Substantiv, maskulin
der Beleg/der Kassenzettel	receipt — Substantiv, maskulin
Dann sind wir quitt	we're even — Phrase
der Hinweis	hint/clue — Substantiv, maskulin
In eine Schublade gesteckt werden	to be pigeonholed — Redewendung
Du frisst meinem Essen das Essen weg	You are eating my food's food — Humorvolle Redewendung
Zufällig	randomly — Adverb
das Parfüm	perfume — Substantiv, neutral
Wenn eine Person sich pflegt	When a person takes care of themselves — Beschreibung
die Matratze	mattress — Substantiv, feminin
tagsüber	during the day — Adverb
ein niedriges Regal	a low shelf — Beschreibung
ein schmaler Kleiderschank	a narrow wardrobe — Beschreibung
Begonnen hat alles vor zwei Jahren	It all started two years ago — Satz
Ich muss mal entrümpeln	I need to declutter — Satz
Es wird geschätzt, dass ein Europäer durchschnittlich 10 000 Gegenstände besitzt	It is estimated that a European owns an average of 10,000 items — Satz
Wer einmal mit dem Aussortieren begonnen hat, bleibt dem Minimalismus oft treu	Once one starts sorting out, they often remain true to minimalism — Satz
der Krempel	junk: things that are not worth much (and often old) — Umgangssprache, Substantiv, maskulin
der Krimskrams	odds and ends: various small things of little value — Umgangssprache, Substantiv, maskulin
das Aussortieren	sorting out: selecting and getting rid of things you no longer need — Substantiv, neutral, Tätigkeit
