Front	Back
“I agree with you.”	Ich stimme dir zu.
“I share your opinion.”	Ich bin deiner Meinung. / Ich teile deine Meinung.
“You’re right there.”	Da hast du recht.
“Exactly.” (short and informal)	Genau.
“Absolutely right.”	Ganz genau.
“Absolutely.”	Absolut.
“I see it that way too.”	Das sehe ich auch so.
“I see it the same way.”	Ich sehe das genauso.
“I’m completely with you.”	Ich bin ganz bei dir.
“You are completely right.”	Du hast vollkommen recht.
“I share your opinion.” (formal)	Ich teile Ihre Meinung.
“I am of the same opinion.”	Ich bin mit Ihnen einer Meinung.
“Your argument convinces me.”	Ihre Argumentation überzeugt mich.
“I can only agree with that.”	Dem kann ich nur zustimmen.
“That’s exactly what I mean.”	Genau das meine ich auch.
“Exactly!” (casual)	Eben!
“I see it exactly the same way!”	Sehe ich genauso!
“That’s true.”	Das stimmt.
“Sure thing!”	Klar doch.
